Time,Market
7/22/2010,2800793721
7/23/2010,2035922177
7/24/2010,2155641485
7/25/2010,1945934575
8/3/2010,216090
8/4/2010,2250874088
8/11/2010,2281693
8/17/2010,245137025
8/21/2010,24525475
8/22/2010,2431189493
8/23/2010,24751935
8/27/2010,2454432
8/31/2010,2479758773
9/5/2010,24415452
9/10/2010,24089205
9/12/2010,2446497612
9/13/2010,246405327
9/19/2010,245826669
9/21/2010,2558966436
9/23/2010,2530217925
9/29/2010,25658235
10/2/2010,2574431471
10/5/2010,256449518
10/7/2010,26468442
10/9/2010,3512394573
10/10/2010,392383275
10/11/2010,3847116
10/13/2010,3904227
10/14/2010,4348948125
10/20/2010,4260592875
10/24/2010,4711986
10/27/2010,6637356
11/1/2010,85715917
11/4/2010,8902017375
11/5/2010,9694703625
11/6/2010,1157530367
11/7/2010,1692730083
11/10/2010,9546750117
11/13/2010,1287898843
11/18/2010,102885604
11/23/2010,131715855
11/24/2010,1323838165
11/28/2010,1334394525
11/29/2010,13181913
11/30/2010,1020031989
12/1/2010,9940198875
12/3/2010,11908875
12/4/2010,1217370
12/6/2010,99552275
12/8/2010,1157190
12/9/2010,10922919
12/16/2010,1164606731
12/23/2010,1225164376
12/24/2010,123988125
12/27/2010,1250739275
12/29/2010,135493225
1/5/2011,1466710527
1/6/2011,151405689
1/7/2011,1509912073
1/13/2011,1641045685
1/17/2011,1994772728
1/18/2011,180527235
1/20/2011,1621890706
1/21/2011,2023941658
1/22/2011,2131754
1/23/2011,2313814433
1/24/2011,2213218108
1/26/2011,2152264732
1/29/2011,233987675
1/31/2011,2530586341
2/1/2011,2835351697
2/2/2011,3809073646
2/3/2011,3885551019
2/5/2011,4489490284
2/6/2011,4899598
2/8/2011,475653825
2/9/2011,472746686
2/10/2011,5503065428
2/11/2011,5160018042
2/12/2011,543554225
2/14/2011,563548675
2/15/2011,5739170027
2/16/2011,569454375
2/17/2011,567952275
2/18/2011,5645730737
2/19/2011,4963083462
2/20/2011,5015026341
2/22/2011,4714322236
2/23/2011,5000941044
2/26/2011,5119435077
2/27/2011,531036165
2/28/2011,4942692022
3/1/2011,4754655379
3/2/2011,512324617
3/4/2011,518114356
3/7/2011,48936195
3/8/2011,4855901596
3/9/2011,4804403137
3/12/2011,5019283508
3/13/2011,5092595244
3/16/2011,4932952484
3/17/2011,4841195963
3/18/2011,4844748713
3/19/2011,4465568594
3/20/2011,4431082221
3/21/2011,4355246529
3/22/2011,4310872631
3/23/2011,46439325
3/25/2011,5063441428
3/26/2011,5087551928
3/27/2011,4778373008
3/28/2011,47327735
3/29/2011,4577380828
3/30/2011,4590044466
3/31/2011,4556686403
4/1/2011,4516364559
4/2/2011,4504158334
4/4/2011,4541476475
4/5/2011,4025789682
4/6/2011,4373787483
4/7/2011,43877169
4/8/2011,4430494046
4/9/2011,4388603362
4/11/2011,4320384834
4/12/2011,4684253258
4/13/2011,50806005
4/14/2011,5496925047
4/15/2011,5831728981
4/16/2011,5768555576
4/17/2011,6113045799
4/18/2011,6792257746
4/19/2011,6915993228
4/20/2011,7082520067
4/21/2011,6851521822
4/22/2011,7185933904
4/23/2011,8227771026
4/24/2011,1026346333
4/25/2011,9917548523
4/26/2011,946457857
4/27/2011,1062286198
4/28/2011,1136625516
4/29/2011,1382854613
4/30/2011,1735364842
5/1/2011,21212625
5/2/2011,1866628412
5/3/2011,19455920
5/4/2011,2109283192
5/5/2011,2083985663
5/6/2011,2036348132
5/7/2011,2104008546
5/8/2011,223891064
5/9/2011,2336787583
5/10/2011,2360415866
5/11/2011,3483376339
5/12/2011,3319269878
5/13/2011,3999678643
5/14/2011,5011909747
5/15/2011,4516369483
5/16/2011,4603157524
5/17/2011,4913759426
5/18/2011,4540050803
5/19/2011,4258031201
5/20/2011,436447665
5/22/2011,3866762286
5/23/2011,4254009292
5/24/2011,4512871225
5/25/2011,4683735245
5/26/2011,525406481
5/27/2011,5550479367
5/28/2011,5427247481
5/29/2011,5322608089
5/30/2011,5318367441
5/31/2011,5596913505
6/1/2011,5472472488
6/2/2011,6145942458
6/3/2011,6914337039
6/4/2011,9095670938
6/5/2011,1186170941
6/6/2011,1074761218
6/7/2011,1197996564
6/8/2011,1499130652
6/9/2011,1950004654
6/10/2011,1861977163
6/11/2011,1555237964
