date,Volume,txCount,marketcap(USD),price,exchangeVolume(USD),generatedCoins,activeAddresses,medianTxValue(USD)
10/6/2014,,5,,,,100,6,
10/7/2014,,2,,,,0,4,
10/8/2014,,1,,,,0,2,
10/9/2014,,2,,,,0,4,
10/10/2014,,3,,,,0,4,
10/11/2014,,1,,,,0,2,
10/12/2014,,1,,,,0,2,
10/13/2014,,2,,,,0,4,
10/14/2014,,0,,,,0,0,
10/15/2014,,0,,,,0,0,
10/16/2014,,0,,,,0,0,
10/17/2014,,0,,,,0,0,
10/18/2014,,0,,,,0,0,
10/19/2014,,0,,,,0,0,
10/20/2014,,0,,,,0,0,
10/21/2014,,10,,,,0,6,
10/22/2014,,1,,,,0,2,
10/23/2014,,0,,,,0,0,
10/24/2014,,0,,,,0,0,
10/25/2014,,0,,,,0,0,
10/26/2014,,0,,,,0,0,
10/27/2014,,0,,,,0,0,
10/28/2014,,2,,,,0,3,
10/29/2014,,0,,,,0,0,
10/30/2014,,0,,,,0,0,
10/31/2014,,1,,,,0,2,
11/1/2014,,0,,,,0,0,
11/2/2014,,0,,,,0,0,
11/3/2014,,0,,,,0,0,
11/4/2014,,1,,,,0,2,
11/5/2014,,0,,,,0,0,
11/6/2014,,0,,,,0,0,
11/7/2014,,0,,,,0,0,
11/8/2014,,0,,,,0,0,
11/9/2014,,0,,,,0,0,
11/10/2014,,0,,,,0,0,
11/11/2014,,0,,,,0,0,
11/12/2014,,0,,,,0,0,
11/13/2014,,1,,,,0,2,
11/14/2014,,16,,,,0,8,
11/15/2014,,2,,,,0,3,
11/16/2014,,2,,,,0,3,
11/17/2014,,0,,,,0,0,
11/18/2014,,2,,,,0,3,
11/19/2014,,0,,,,0,0,
11/20/2014,,1,,,,0,2,
11/21/2014,,4,,,,0,5,
11/22/2014,,1,,,,0,2,
11/23/2014,,0,,,,0,0,
11/24/2014,,1,,,,0,2,
11/25/2014,,2,,,,0,3,
11/26/2014,,4,,,,0,4,
11/27/2014,,1,,,,0,2,
11/28/2014,,0,,,,0,0,
11/29/2014,,0,,,,0,0,
11/30/2014,,0,,,,0,0,
12/1/2014,,0,,,,0,0,
12/2/2014,,0,,,,0,0,
12/3/2014,,0,,,,0,0,
12/4/2014,,7,,,,0,3,
12/5/2014,,7,,,,0,3,
12/6/2014,,6,,,,0,4,
12/7/2014,,2,,,,0,2,
12/8/2014,,6,,,,0,4,
12/9/2014,,5,,,,0,4,
12/10/2014,,1,,,,0,2,
12/11/2014,,0,,,,0,0,
12/12/2014,,1,,,,0,2,
12/13/2014,,0,,,,0,0,
12/14/2014,,0,,,,0,0,
12/15/2014,,1,,,,0,2,
12/16/2014,,8,,,,0,6,
12/17/2014,,26,,,,0,18,
12/18/2014,,1,,,,0,2,
12/19/2014,,10,,,,0,11,
12/20/2014,,5,,,,0,6,
12/21/2014,,12,,,,0,7,
12/22/2014,,7,,,,0,6,
12/23/2014,,0,,,,0,0,
12/24/2014,,1,,,,0,2,
12/25/2014,,0,,,,0,0,
12/26/2014,,0,,,,0,0,
12/27/2014,,0,,,,0,0,
12/28/2014,,0,,,,0,0,
12/29/2014,,0,,,,0,0,
12/30/2014,,0,,,,0,0,
12/31/2014,,0,,,,0,0,
1/1/2015,,0,,,,0,0,
1/2/2015,,0,,,,0,0,
1/3/2015,,0,,,,0,0,
1/4/2015,,0,,,,0,0,
1/5/2015,,2,,,,0,3,
1/6/2015,,7,,,,0,4,
1/7/2015,,5,,,,1500,3,
1/8/2015,,6,,,,0,5,
1/9/2015,,3,,,,250000,3,
1/10/2015,,0,,,,0,0,
1/11/2015,,0,,,,0,0,
1/12/2015,,2,,,,0,3,
1/13/2015,,0,,,,0,0,
1/14/2015,,0,,,,0,0,
1/15/2015,,0,,,,0,0,
1/16/2015,,3,,,,0,5,
1/17/2015,,5,,,,0,4,
1/18/2015,,0,,,,0,0,
1/19/2015,,4,,,,0,2,
1/20/2015,,13,,,,0,5,
1/21/2015,,6,,,,0,7,
1/22/2015,,16,,,,0,17,
1/23/2015,,30,,,,0,19,
1/24/2015,,1,,,,0,2,
1/25/2015,,1,,,,0,2,
1/26/2015,,3,,,,0,5,
1/27/2015,,8,,,,0,8,
1/28/2015,,7,,,,0,5,
1/29/2015,,9,,,,0,7,
1/30/2015,,3,,,,0,6,
1/31/2015,,2,,,,0,3,
2/1/2015,,0,,,,0,0,
2/2/2015,,1,,,,0,2,
2/3/2015,,4,,,,0,4,
2/4/2015,,6,,,,0,6,
2/5/2015,,12,,,,0,13,
2/6/2015,,20,,,,0,15,
2/7/2015,,0,,,,0,0,
2/8/2015,,1,,,,0,2,
2/9/2015,,3,,,,0,4,
2/10/2015,,3,,,,0,5,
2/11/2015,,2,,,,0,3,
2/12/2015,,4,,,,0,5,
2/13/2015,,0,,,,0,0,
2/14/2015,,2,,,,0,2,
2/15/2015,,0,,,,0,0,
2/16/2015,,0,,,,0,0,
2/17/2015,,2,,,,0,4,
2/18/2015,,28,,,,0,17,
2/19/2015,,6,,,,0,6,
2/20/2015,,3,,,,0,5,
2/21/2015,,6,,,,0,4,
2/22/2015,,3,,,,0,3,
2/23/2015,,3,,,,0,4,
2/24/2015,,10,,,,0,10,
2/25/2015,273.3269,3,304476,1.21,6,0,5,0.121
2/26/2015,0,0,304542,1.21,6,0,0,
2/27/2015,30.73514181,11,274083.6,1.0890258,5.4,0,7,4.165104889
2/28/2015,1972.486442,10,243625.2,0.9680516,4.8,0,10,4.661021271
3/1/2015,0,0,213166.8,0.8470774,4.2,0,0,
3/2/2015,9416.689514,6,182708.4,0.7261032,3.6,0,7,116.9931653
3/3/2015,14987.66624,28,152250,0.605129,3,0,14,134.3191335
3/4/2015,8463.454515,12,177087.5,0.70384675,14551.5,0,11,3.526272218
3/5/2015,53.06121765,9,201925,0.8025645,29100,0,10,3.270116069
3/6/2015,40.82262223,7,226762.5,0.90128225,43648.5,0,7,3.719793742
3/7/2015,58153.96224,8,251600,1,58197,0,7,5493.874789
3/8/2015,17.33126796,2,251600,1,31,0,2,8.66563398
3/9/2015,15.42279432,5,251600,1,143,0,7,4.9
3/10/2015,49939.93691,23,251600,1,49997,0,13,0.01
3/11/2015,4.04,5,251600,1,49,0,7,1
3/12/2015,80423.86284,14,251600,1,80418,0,12,5
3/13/2015,550.9835391,8,251600,1,75,0,11,2.69008306
3/14/2015,34209.76905,16,251600,1,17705,0,14,979.6266865
3/15/2015,15410.04,11,251600,1,15125,0,13,300
3/16/2015,136.9193664,4,251600,1,49632,0,6,27.4596832
3/17/2015,48.94365316,5,251600,1,4284,0,8,5
3/18/2015,40.39855394,7,251600,1,202,0,6,4.22625954
3/19/2015,5.40496237,4,251600,1,714,0,4,0.7
3/20/2015,0,0,251600,1,133,0,0,
3/21/2015,0,0,251600,1,206,0,0,
3/22/2015,0,0,251600,1,67,0,0,
3/23/2015,15.3562564,5,251600,1,66,0,8,2
